,uri,type,title,dates
216,/agents/RNgzfsX4FJvhxNUVnmVTio,agent,Yoshio Sato,
217,/agents/WewidfZjvQBhtAujcnGC67,agent,Abraham Pais,"[{'expression': '1918-2000', 'begin': '1918', 'end': '2000', 'label': 'existence', 'type': 'range'}]"
218,/agents/k5joLyffUwz37hpJEScv5o,agent,Ernst A.H. Friedheim,"[{'expression': '1899-1989', 'begin': '1899', 'end': '1989', 'label': 'existence', 'type': 'range'}]"
219,/agents/9h8UgGZVhbVpXXa4XUqYis,agent,"Samuel A. (Samuel Abraham), 1902-1978 Goudsmit",
220,/agents/co5qmqCXiXE7NodCjiSQHr,agent,"George Eugène, 1900-1988 Uhlenbeck",
221,/agents/UnB8CmArkCBuZSDa4geDJN,agent,Alfred E. (Alfred Einstein) Cohn,"[{'expression': '1879-1957', 'begin': '1879', 'end': '1957', 'label': 'existence', 'type': 'range'}]"
222,/agents/i9iCBsufEMrnRcDM7NhjGn,agent,Erwin H. (Erwin Heinz) Ackerknecht,"[{'expression': '1906-1988', 'begin': '1906', 'end': '1988', 'label': 'existence', 'type': 'range'}]"
223,/agents/TpHmmbBPF8JVoxrGUNiJwc,agent,Paul F. (Paul Frederic) Cranefield,"[{'expression': '1925-', 'begin': '1925', 'end': '1925', 'label': 'existence', 'type': 'single'}]"
224,/agents/hwbHcUAErmzgfVLmzN3aw9,agent,Lewis L. Strauss,
225,/agents/4i8mrN4gSxY4FW4iHh78VG,agent,Hidesaburo Hanafusa,
226,/agents/Sa7BhWyDv5ngC5JB3CrD7Y,agent,Purnell W. Choppin,
227,/agents/ee8jZKFF2NwNsrstos2SSk,agent,Walther Frederick Goebel,"[{'expression': '1899-1993', 'begin': '1899', 'end': '1993', 'label': 'existence', 'type': 'range'}]"
228,/agents/jFKD2XpK7ionwUA5beg7FX,agent,Edric Brooks Smith,
229,/agents/b2zg94aETPCWqwuDXqj9r5,agent,Albert B. (Albert Bruce) Sabin,"[{'expression': '1906-1993', 'begin': '1906', 'end': '1993', 'label': 'existence', 'type': 'range'}]"
230,/agents/C62s8uZjTRJy27ZHoxVnhr,agent,Herbert S. (Herbert Spencer) Gasser,"[{'expression': '1888-1963', 'begin': '1888', 'end': '1963', 'label': 'existence', 'type': 'range'}]"
231,/agents/oKHBjJo7TBumA9399jifGZ,agent,Donald H. Harter,
232,/agents/JQ9S7pFRpK25E9Z9rqYpmH,agent,Oswald Hope Robertson,"[{'expression': '1886-1966', 'begin': '1886', 'end': '1966', 'label': 'existence', 'type': 'range'}]"
233,/agents/JYd8QgyMQ3gRbDKq89uKkd,agent,Florence Rena Sabin,"[{'expression': '1871-1953', 'begin': '1871', 'end': '1953', 'label': 'existence', 'type': 'range'}]"
234,/agents/U6YW8Hufs7m4vPUP3F5nav,agent,Homer Fordyce Swift,
235,/agents/GL9H6HJHXBjfhnkoxWZk67,agent,Joseph E. Persico,
236,/agents/hUUUQF7UwyXb2srRa2vtCm,agent,M. (Max) Bergmann,"[{'expression': '1886-1944', 'begin': '1886', 'end': '1944', 'label': 'existence', 'type': 'range'}]"
237,/agents/DZFWrXMuDA2eYMx6chEhNz,agent,Josephine C. Fabian,
238,/agents/PSXirQcswqUQnae3teDLoJ,agent,William Avery Rockefeller,"[{'expression': '1810-1906', 'begin': '1810', 'end': '1906', 'label': 'existence', 'type': 'range'}]"
239,/agents/CL5Pu3Ly2z4ejScxiERsVG,agent,Verne S. Atwater,
240,/agents/XamzzqJrH6JyXgWRzSjyfe,agent,Mignon R. Moore,
241,/agents/7rkydCeLqjySdovMShLgGF,agent,Marian Krauskopf,
242,/agents/9RwBmotSUxa59kL52qHZEn,agent,"Obie, Jr. Clayton",
243,/agents/2qMrUiwaajKZG7ELYAcorz,agent,James R. Kluegel,
244,/agents/7wMoocdyEw7cDstoai7pFs,agent,Irwin T. (Irwin Taylor) Sanders,"[{'expression': '1909-2005', 'begin': '1909', 'end': '2005', 'label': 'existence', 'type': 'range'}]"
245,/agents/6PwDKkMUTFbiQeAfW9k77f,agent,Joseph Schull,"[{'expression': '1961', 'begin': '1961', 'end': '1961', 'label': 'existence', 'type': 'single'}]"
246,/agents/iZ6S3nfCWSnbrsGTFy9ZPM,agent,Michael Bacharch,
247,/agents/KkefHUJaeMXTLLA44bXHht,agent,Felix Pinkus,"[{'expression': '1868-1947', 'begin': '1868', 'end': '1947', 'label': 'existence', 'type': 'range'}]"
248,/agents/bhPNpCjnh2y9YUc8aiUiSd,agent,Steven Raphael,
249,/agents/mVT8SbuHHd68Jjb2waR6Pe,agent,Irena Grudzińska-Gross,
250,/agents/DjUHSXMpJ2ofSS6uG9w6yX,agent,Svetlana Mojsov,
251,/agents/kprqMhUfq4NurkWu3q4m4u,agent,Michael Schwartz,
